Job Title,Salary Estimate,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Easy Apply,Average Salary,Compant Text,Job State,Company Age
Sr IT Technical Data Analyst,$77K-$132K (Glassdoor est.),2.4,"EmblemHealth
2.4","New York, NY","New York, NY",1001 to 5000 employees,1937,Nonprofit Organization,Insurance Carriers,Insurance,$5 to $10 billion (USD),-1,-1,104.5,EmblemHealth, NY,85
Senior Marketing Data Analyst,$77K-$132K (Glassdoor est.),2.8,"ERGO
2.8","New York, NY","New York, NY",1 to 50 employees,2004,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1,True,104.5,ERGO, NY,18
Data Analyst III,$77K-$132K (Glassdoor est.),4.4,"ACT Consulting
4.4","New York, NY","London, United Kingdom",1 to 50 employees,-1,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,-1,-1,104.5,ACT Consulting, NY,-1
TX Healthcare Data/Reporting Analyst,$77K-$132K (Glassdoor est.),4.8,"Tekfortune Inc.
4.8","New York, NY","Piscataway, NJ",1 to 50 employees,-1,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,-1,104.5,Tekfortune Inc., NY,-1
Senior SQL Data Warehouse Analyst,$77K-$132K (Glassdoor est.),2.8,"Intercontinental Exchange, Inc.
2.8","New York, NY","Atlanta, GA",1001 to 5000 employees,2000,Company - Public,Investment Banking & Asset Management,Finance,$5 to $10 billion (USD),-1,-1,104.5,"Intercontinental Exchange, Inc.", NY,22
Data Analyst Junior,$77K-$132K (Glassdoor est.),5.0,"Staffigo Technical Services, LLC
5.0","New York, NY","Woodridge, IL",51 to 200 employees,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,-1,104.5,"Staffigo Technical Services, LLC", NY,14
SR. Power BI with DAX - Data Analyst,$77K-$132K (Glassdoor est.),3.7,"8K Miles Software Services, Inc.
3.7","New York, NY","Santa Clara, CA",201 to 500 employees,2008,Company - Public,Computer Hardware & Software,Information Technology,$1 to $5 million (USD),-1,-1,104.5,"8K Miles Software Services, Inc.", NY,14
Informatica IDQ - Data Quality Analyst (Contract),$77K-$132K (Glassdoor est.),4.0,"Two95 International Inc.
4.0","New York, NY","Cherry Hill, NJ",1 to 50 employees,-1,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),-1,-1,104.5,Two95 International Inc., NY,-1
"Senior Solutions Analyst, Data Specialist",$77K-$132K (Glassdoor est.),4.2,"VTS
4.2","New York, NY","New York, NY",201 to 500 employees,2011,Company - Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million (USD),-1,-1,104.5,VTS, NY,11
Operations data analyst,$77K-$132K (Glassdoor est.),-1.0,Sky I.T. Group (Sky Business Intelligence Team),"New York, NY",-1,-1,-1,-1,-1,-1,-1,-1,-1,104.5,Sky I.T. Group (Sky Business Intelligence Team), NY,-1
HR Data Analyst,$77K-$132K (Glassdoor est.),3.5,"Robert Half
3.5","Jersey City, NJ","Menlo Park, CA",10000+ employees,1948,Company - Public,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD),"Adecco, Manpower",-1,104.5,Robert Half, NJ,74
Healthcare Senior Data Analyst - HEDIS,$77K-$132K (Glassdoor est.),2.0,"Village Care
2.0","New York, NY","New York, NY",501 to 1000 employees,1977,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),-1,-1,104.5,Village Care, NY,45
Senior Data Quality Analyst,$77K-$132K (Glassdoor est.),3.3,"Quest Diagnostics
3.3","Secaucus, NJ","Secaucus, NJ",10000+ employees,1967,Company - Public,Health Care Services & Hospitals,Health Care,$5 to $10 billion (USD),"LabCorp, Bio-Reference Labs, Thermo Fisher Scientific",-1,104.5,Quest Diagnostics, NJ,55
Financial Data Analyst - Accounting ll,$77K-$132K (Glassdoor est.),-1.0,Softinc,"New York, NY","South Plainfield, NJ",51 to 200 employees,2018,Company - Public,-1,-1,$1 to $5 million (USD),-1,-1,104.5,Softinc, NY,4
Data Analyst - Litigation,$77K-$132K (Glassdoor est.),-1.0,"KnowledgePro, LLC","New York, NY",-1,-1,-1,-1,-1,-1,-1,-1,-1,104.5,"KnowledgePro, LLC", NY,-1
Quantitative Data Analyst/Developer,$77K-$132K (Glassdoor est.),5.0,"Creative Data Resources
5.0","New York, NY","New York, NY",1 to 50 employees,1992,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,-1,104.5,Creative Data Resources, NY,30
"Sr Business Data Analyst SAP, SKU, Supply Chain",$77K-$132K (Glassdoor est.),3.4,"EVERSANA
3.4","New York, NY","Chicago, IL",1001 to 5000 employees,2018,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1,-1,104.5,EVERSANA, NY,4
"Senior Data Analyst, Gas Planning and Design Engineering",$77K-$132K (Glassdoor est.),3.6,"National Grid USA
3.6","Brooklyn, NY","Waltham, MA",10000+ employees,1990,Company - Public,Utilities,"Oil, Gas, Energy & Utilities",$5 to $10 billion (USD),Northeast Utilities,-1,104.5,National Grid USA, NY,32
Data Analyst - Cardiac Cath Lab,$77K-$132K (Glassdoor est.),2.1,"Barnabas Health
2.1","West Orange, NJ","Gibsonia, PA",501 to 1000 employees,-1,Company - Public,-1,-1,$5 to $10 million (USD),-1,-1,104.5,Barnabas Health, NJ,-1
Senior Data Business Analyst,$77K-$132K (Glassdoor est.),2.8,"Aegis Media
2.8","New York, NY","London, United Kingdom",1001 to 5000 employees,1978,Subsidiary or Business Segment,Advertising & Marketing,Business Services,$2 to $5 billion (USD),-1,-1,104.5,Aegis Media, NY,44
Business Analyst/Data Analyst - Capital Markets Data,$77K-$132K (Glassdoor est.),3.0,"RMS Computer Corporation
3.0","Jersey City, NJ","New York, NY",201 to 500 employees,1985,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),-1,-1,104.5,RMS Computer Corporation, NJ,37
"Firmwide Reference Data Operations, Pricing Operations, Analyst",$77K-$132K (Glassdoor est.),3.9,"J.P. Morgan
3.9","Newark, NJ","New York, NY",10000+ employees,1799,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),-1,-1,104.5,J.P. Morgan, NJ,223
Senior Healthcare Data Analyst,$77K-$132K (Glassdoor est.),4.5,"RAMPS International Inc
4.5","New York, NY","Edison, NJ",51 to 200 employees,-1,Company - Private,Consulting,Business Services,$5 to $10 million (USD),-1,-1,104.5,RAMPS International Inc, NY,-1
"Data Analyst, Quality & Patient Safety",$77K-$132K (Glassdoor est.),-1.0,Episcopal Health Services Inc.,"Far Rockaway, NY",-1,-1,-1,-1,-1,-1,-1,-1,-1,104.5,Episcopal Health Services Inc., NY,-1
Senior Data Analyst - FHC - Family Support Center,$77K-$132K (Glassdoor est.),4.0,"NYU Langone Health
4.0","New York, NY","New York, NY",10000+ employees,1841,Hospital,Health Care Services & Hospitals,Health Care,$5 to $10 billion (USD),"NewYork-Presbyterian Hospital, Northwell Health",-1,104.5,NYU Langone Health, NY,181
QA Data Analyst,$77K-$132K (Glassdoor est.),5.0,"Professional Resource Group
5.0","Lake Success, NY","Spring, TX",1 to 50 employees,-1,Company - Private,Advertising & Marketing,Business Services,Less than $1 million (USD),-1,-1,104.5,Professional Resource Group, NY,-1
Sr Data Analyst for Customer Based Management,$77K-$132K (Glassdoor est.),3.0,"Altice USA
3.0","Long Island City, NY","Queens Village, NY",10000+ employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable,-1,-1,104.5,Altice USA, NY,-1
"Data Analyst/Project Manager in Jersey City, New Jersey | Careers at Harborside",$77K-$132K (Glassdoor est.),3.4,"Sumitomo Mitsui Banking Corporation (SMBC)
3.4","Jersey City, NJ","Tokyo, Japan",10000+ employees,1996,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),"Bank Of Tokyo-Mitsubishi UFJ, Mizuho Financial Group, Citi",-1,104.5,Sumitomo Mitsui Banking Corporation (SMBC), NJ,26
Senior Financial Analyst - Enterprise Data,$98K-$114K (Glassdoor est.),3.2,"Geller & Company
3.2","New York, NY","New York, NY",501 to 1000 employees,1984,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,-1,-1,106.0,Geller & Company, NY,38
Data Analyst with Data Lineage/Rochade,$98K-$114K (Glassdoor est.),4.0,"Reliable Software Resources
4.0","Florham Park, NJ","Northville, MI",501 to 1000 employees,2004,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,-1,106.0,Reliable Software Resources, NJ,18
Senior Market Data Content Acquisition/Procurement Analyst,$98K-$114K (Glassdoor est.),2.8,"Intercontinental Exchange, Inc.
2.8","New York, NY","Atlanta, GA",1001 to 5000 employees,2000,Company - Public,Investment Banking & Asset Management,Finance,$5 to $10 billion (USD),-1,-1,106.0,"Intercontinental Exchange, Inc.", NY,22
Sr. Specialist Reporting Data Analyst /Engineer - Cloud,$98K-$114K (Glassdoor est.),3.2,"The Bank of New York Mellon
3.2","Florham Park, NJ","New York, NY",10000+ employees,1784,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),"State Street, Northern Trust, BlackRock",-1,106.0,The Bank of New York Mellon, NJ,238
"Senior Business Analyst, Data Management",$98K-$114K (Glassdoor est.),3.4,"Plymouth Rock Assurance
3.4","Woodbridge, NJ","Boston, MA",1001 to 5000 employees,1982,Company - Private,Insurance Carriers,Insurance,$10 to $25 million (USD),"Arbella Insurance, Safety Insurance",-1,106.0,Plymouth Rock Assurance, NJ,40
Data Science Analyst II - Mount Sinai Health Partners,$98K-$114K (Glassdoor est.),3.4,"Mount Sinai Health System
3.4","New York, NY","New York, NY",10000+ employees,2013,Hospital,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD),-1,-1,106.0,Mount Sinai Health System, NY,9
NY Healthcare Data/Reporting Analyst,$98K-$114K (Glassdoor est.),3.5,"SAT Healthcare
3.5","New York, NY","Santa Clara, CA",201 to 500 employees,2002,Company - Private,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD),-1,-1,106.0,SAT Healthcare, NY,20
Data Analyst,$98K-$114K (Glassdoor est.),3.3,"Atrium Staffing
3.3","Parsippany, NJ","New York, NY",51 to 200 employees,1995,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,Kelly,-1,106.0,Atrium Staffing, NJ,27
Technical Business Analyst with Retail Banking and Large Data Program,$98K-$114K (Glassdoor est.),3.7,"eTeam Inc.
3.7","New York, NY","South Plainfield, NJ",51 to 200 employees,1999,Company - Private,Staffing & Outsourcing,Business Services,$50 to $100 million (USD),"Artech Information Systems, Mindlance, Tech Mahindra",-1,106.0,eTeam Inc., NY,23
Principal Sales Operations Analyst - Oracle Data Cloud,$98K-$114K (Glassdoor est.),3.6,"Oracle
3.6","New York, NY","Redwood City, CA",10000+ employees,1977,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),"SAP, Salesforce, Microsoft",-1,106.0,Oracle, NY,45
QA Production Data Analyst,$98K-$114K (Glassdoor est.),2.7,"Metroplus Health Plan
2.7","New York, NY","New York, NY",1001 to 5000 employees,1985,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),-1,-1,106.0,Metroplus Health Plan, NY,37
JPSC-7462 - Data Analyst Lead - Sr. Tableau Lead,$98K-$114K (Glassdoor est.),4.5,"Avani Technology Solutions
4.5","Whippany, NJ","Rochester, NY",501 to 1000 employees,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,-1,106.0,Avani Technology Solutions, NJ,14
Data Services Lead Analyst,$98K-$114K (Glassdoor est.),2.5,"Primesoft
2.5","New York, NY","LISBOA, Portugal",1 to 50 employees,-1,Company - Private,IT Services,Information Technology,Less than $1 million (USD),-1,-1,106.0,Primesoft, NY,-1
"Sr Data Analyst, Go-Live",$98K-$114K (Glassdoor est.),4.4,"Riskified
4.4","New York, NY","New York, NY",501 to 1000 employees,2013,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,"Signifyd, Forter",-1,106.0,Riskified, NY,9
Data Analyst III- SAS req'd,$98K-$114K (Glassdoor est.),-1.0,IPro.org,"Great Neck, NY",-1,-1,-1,-1,-1,-1,-1,-1,-1,106.0,IPro.org, NY,-1
Senior Healthcare Data Analyst,$98K-$114K (Glassdoor est.),4.3,"Cecelia Health
4.3","New York, NY","New York, NY",51 to 200 employees,2009,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,-1,106.0,Cecelia Health, NY,13
Regulatory Risk Management Data Analytics and Reporting Analyst,$98K-$114K (Glassdoor est.),5.0,"Creative Data Resources
5.0","New York, NY","New York, NY",1 to 50 employees,1992,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,-1,106.0,Creative Data Resources, NY,30
NY Healthcare Data/Reporting Analyst,$98K-$114K (Glassdoor est.),4.4,"Systemart LLC
4.4","New York, NY","Parsippany, NJ",1 to 50 employees,-1,Company - Private,Computer Hardware & Software,Information Technology,$1 to $5 million (USD),-1,-1,106.0,Systemart LLC, NY,-1
"Specialist, Data and Reporting Analyst - IT Change Management",$98K-$114K (Glassdoor est.),3.2,"The Bank of New York Mellon
3.2","Florham Park, NJ","New York, NY",10000+ employees,1784,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),"State Street, Northern Trust, BlackRock",-1,106.0,The Bank of New York Mellon, NJ,238
Datastage Developer/Consultant/IBM Websphere Datastage Developer(ETL Data Analyst)-Only Local to NY/,$98K-$114K (Glassdoor est.),4.8,"TechProjects
4.8","Jersey City, NJ","North Brunswick, NJ",1 to 50 employees,2011,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,-1,106.0,TechProjects, NJ,11
Data Analyst III- SAS req'd,$98K-$114K (Glassdoor est.),3.0,"IPRO
3.0","Lake Success, NY","N New Hyde Park, NY",201 to 500 employees,1984,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD),-1,-1,106.0,IPRO, NY,38
Data Warehouse systems analyst,$98K-$114K (Glassdoor est.),5.0,"ITech Recruiting
5.0","New York, NY","Shepton Mallet, United Kingdom",51 to 200 employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable,-1,-1,106.0,ITech Recruiting, NY,-1
TX Healthcare Data/Reporting Analyst,$98K-$114K (Glassdoor est.),3.4,"RN Staff
3.4","New York, NY","Westfield, IN",Unknown,-1,Unknown,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,-1,106.0,RN Staff, NY,-1
NY Healthcare Data/Reporting Analyst,$98K-$114K (Glassdoor est.),4.2,"Abacus Service Corporation
4.2","New York, NY","Southfield, MI",501 to 1000 employees,2004,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,-1,106.0,Abacus Service Corporation, NY,18
Sr. Data Analyst - RWE,$98K-$114K (Glassdoor est.),4.2,"CyberCoders
4.2","Hoboken, NJ","Irvine, CA",201 to 500 employees,1999,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),-1,-1,106.0,CyberCoders, NJ,23
Data Migration Lead/ Analyst (migration of data to the new target system),$98K-$114K (Glassdoor est.),3.4,"TECHNOCRAFT Solutions
3.4","New York, NY","Hilliard, OH",1 to 50 employees,-1,Company - Private,Advertising & Marketing,Business Services,$1 to $5 million (USD),-1,-1,106.0,TECHNOCRAFT Solutions, NY,-1
Senior Data Analytics Solutions Analyst,$98K-$114K (Glassdoor est.),3.1,"Praescient Analytics
3.1","New York, NY","Alexandria, VA",51 to 200 employees,2011,Company - Private,Consulting,Business Services,$10 to $25 million (USD),-1,-1,106.0,Praescient Analytics, NY,11
Technical Analyst - Access/Identity Data Security,$98K-$114K (Glassdoor est.),-1.0,C&G Consulting Services,"Hoboken, NJ",-1,-1,-1,-1,-1,-1,-1,-1,-1,106.0,C&G Consulting Services, NJ,-1
Data Analyst - Cardiac Cath Lab,$98K-$114K (Glassdoor est.),3.7,"RWJBarnabas Health
3.7","West Orange, NJ","West Orange, NJ",10000+ employees,1982,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD),"Atlantic Health System, Robert Wood Johnson University Hospital, Solaris Health System",-1,106.0,RWJBarnabas Health, NJ,40
Data Quality Management Analyst,$98K-$114K (Glassdoor est.),4.0,"Reliable Software Resources
4.0","New York, NY","Northville, MI",501 to 1000 employees,2004,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,-1,106.0,Reliable Software Resources, NY,18
"Business Analyst (SQL/SQL TOAD, Excel, XML, X12, HL7 messaging, data quality analysis)",$48K-$96K (Glassdoor est.),4.3,"MVP Consulting Plus Inc
4.3","New York, NY","Albany, NY",201 to 500 employees,-1,Company - Private,Consumer Products Manufacturing,Manufacturing,$5 to $10 million (USD),-1,-1,72.0,MVP Consulting Plus Inc, NY,-1
Senior Teradata Developer / Data Analyst,$48K-$96K (Glassdoor est.),3.8,"Capgemini
3.8","Jersey City, NJ","Paris, France",10000+ employees,1967,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),"Accenture, CGI, Sopra Steria",-1,72.0,Capgemini, NJ,55
Data & Interface Analyst,$48K-$96K (Glassdoor est.),2.4,"Centers Plan for Healthy Living
2.4","Staten Island, NY","Staten Island, NY",501 to 1000 employees,-1,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,-1,72.0,Centers Plan for Healthy Living, NY,-1
NY Healthcare Data/Reporting Analyst,$48K-$96K (Glassdoor est.),3.4,"RN Staff
3.4","New York, NY","Westfield, IN",Unknown,-1,Unknown,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,-1,72.0,RN Staff, NY,-1
Healthcare Senior Data Analyst - HEDIS,$48K-$96K (Glassdoor est.),-1.0,Village Care,"New York, NY","Durham, United Kingdom",Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1,72.0,Village Care, NY,-1
Data Analyst (Must have PL/SQL and Healthcare background),$48K-$96K (Glassdoor est.),-1.0,Clear Technology Consulting,"New York, NY",-1,-1,-1,-1,-1,-1,-1,-1,-1,72.0,Clear Technology Consulting, NY,-1
Data Analyst / IT Data & Business Intelligence,$48K-$96K (Glassdoor est.),4.0,"Lorven Technologies Inc
4.0","Harrison, NY","Plainsboro, NJ",1 to 50 employees,-1,Company - Private,Accounting,Accounting & Legal,Less than $1 million (USD),-1,-1,72.0,Lorven Technologies Inc, NY,-1
Sr. Specialist Reporting Data Analyst -Technology,$48K-$96K (Glassdoor est.),3.2,"BNY Mellon
3.2","Florham Park, NJ","New York, NY",10000+ employees,1784,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),"State Street, Northern Trust, BlackRock",-1,72.0,BNY Mellon, NJ,238
Sr. Programmer Analyst - Big Data,$48K-$96K (Glassdoor est.),3.3,"Norgate Technology Inc
3.3","Jersey City, NJ","Garden City, NY",51 to 200 employees,1993,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD),-1,-1,72.0,Norgate Technology Inc, NJ,29
Senior Data Analyst - FHC - Family Support Center,$48K-$96K (Glassdoor est.),-1.0,NYU Family Health Centers,"Brooklyn, NY",-1,-1,-1,-1,-1,-1,-1,-1,-1,72.0,NYU Family Health Centers, NY,-1
Data Analyst â Junior,$48K-$96K (Glassdoor est.),5.0,"Staffigo Technical Services, LLC
5.0","New York, NY","Woodridge, IL",51 to 200 employees,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,-1,72.0,"Staffigo Technical Services, LLC", NY,14
Sr. Principal Metrics Analyst- Data Scientist,$48K-$96K (Glassdoor est.),3.2,"The Bank of New York Mellon
3.2","New York, NY","New York, NY",10000+ employees,1784,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),"State Street, Northern Trust, BlackRock",-1,72.0,The Bank of New York Mellon, NY,238
Product & Pricing Data Analyst,$48K-$96K (Glassdoor est.),3.1,"HomeBridge Financial Services
3.1","Iselin, NJ","Iselin, NJ",1001 to 5000 employees,1989,Company - Private,Lending,Finance,$10+ billion (USD),-1,-1,72.0,HomeBridge Financial Services, NJ,33
SAP Data Analyst,$48K-$96K (Glassdoor est.),3.9,"Sharp Electronics Corporation
3.9","Montvale, NJ","Montvale, NJ",1001 to 5000 employees,1962,Company - Public,IT Services,Information Technology,$1 to $2 billion (USD),-1,-1,72.0,Sharp Electronics Corporation, NJ,60
"Senior Data Analyst (E-commerce, Marketing)",$48K-$96K (Glassdoor est.),-1.0,JR Cigar/MC Management,"Whippany, NJ",-1,-1,-1,-1,-1,-1,-1,-1,-1,72.0,JR Cigar/MC Management, NJ,-1
Clinical Data Designer (Sr. SDTM Programmer/Analyst),$48K-$96K (Glassdoor est.),2.5,"Avacend, Inc.
2.5","Woodcliff Lake, NJ","Alpharetta, GA",51 to 200 employees,-1,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,-1,72.0,"Avacend, Inc.", NJ,-1
Senior Data Analytics Solutions Analyst with Security Clearance,$48K-$96K (Glassdoor est.),3.1,"Praescient Analytics
3.1","New York, NY","Alexandria, VA",51 to 200 employees,2011,Company - Private,Consulting,Business Services,$10 to $25 million (USD),-1,-1,72.0,Praescient Analytics, NY,11
"JPSC-7176 - Position 35, 59, 62, 100,101,102, 141,142,166 : Senior Data Analyst",$48K-$96K (Glassdoor est.),4.5,"Avani Technology Solutions
4.5","Brooklyn, NY","Rochester, NY",501 to 1000 employees,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,-1,72.0,Avani Technology Solutions, NY,14
Senior Billing Data Analyst,$48K-$96K (Glassdoor est.),3.2,"Care Design New York
3.2","Bronx, NY","Albany, NY",1001 to 5000 employees,2018,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,-1,72.0,Care Design New York, NY,4
Master Data Analyst,$48K-$96K (Glassdoor est.),4.4,"ACT Consulting
4.4","Parsippany, NJ","London, United Kingdom",1 to 50 employees,-1,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,-1,-1,72.0,ACT Consulting, NJ,-1
Sr. Data Analyst,$48K-$96K (Glassdoor est.),3.8,"TekniSMart Solutions
3.8","Franklin Lakes, NJ","Plano, TX",1 to 50 employees,-1,Contract,-1,-1,Unknown / Non-Applicable,-1,-1,72.0,TekniSMart Solutions, NJ,-1
"Senior Functional Analyst SAP Data design, SD/MM/PP",$48K-$96K (Glassdoor est.),3.4,"EVERSANA
3.4","New York, NY","Chicago, IL",1001 to 5000 employees,2018,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1,-1,72.0,EVERSANA, NY,4
Data Analyst,$26K-$47K (Glassdoor est.),-1.0,HOUSING AUTHORITY OF THE COUNTY OF SALT LAKE,"Salt Lake City, UT","South Salt Lake, UT",51 to 200 employees,-1,Government,Municipal Governments,Government,Unknown / Non-Applicable,-1,-1,36.5,HOUSING AUTHORITY OF THE COUNTY OF SALT LAKE, UT,-1
Data Analyst,$26K-$47K (Glassdoor est.),2.0,"CAO Group, INC
2.0","West Jordan, UT","West Jordan, UT",51 to 200 employees,-1,Company - Private,Electrical & Electronic Manufacturing,Manufacturing,$5 to $10 million (USD),-1,-1,36.5,"CAO Group, INC", UT,-1
Data Analyst,$26K-$47K (Glassdoor est.),4.2,"University of Utah
4.2","Salt Lake City, UT","Salt Lake City, UT",10000+ employees,1850,College / University,Colleges & Universities,Education,$2 to $5 billion (USD),-1,-1,36.5,University of Utah, UT,172
Data Analyst,$26K-$47K (Glassdoor est.),3.6,"Paladin Consulting Inc
3.6","Salt Lake City, UT","Dallas, TX",501 to 1000 employees,1983,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),"TEKsystems, Randstad US",-1,36.5,Paladin Consulting Inc, UT,39
Data Analyst,$26K-$47K (Glassdoor est.),4.3,"SunTechPros, Inc.
4.3","Salt Lake City, UT","Morrisville, NC",1 to 50 employees,-1,Company - Private,Consulting,Business Services,$1 to $5 million (USD),-1,-1,36.5,"SunTechPros, Inc.", UT,-1
Data Analyst,$26K-$47K (Glassdoor est.),4.0,"SGI Global, LLC
4.0","Salt Lake City, UT","Alexandria, VA",501 to 1000 employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable,-1,-1,36.5,"SGI Global, LLC", UT,-1
Data Engineer / Data Analyst,$26K-$47K (Glassdoor est.),4.3,"HCL Global Systems
4.3","Salt Lake City, UT","Farmington Hills, MI",10000+ employees,-1,Company - Private,Consulting,Business Services,$50 to $100 million (USD),-1,-1,36.5,HCL Global Systems, UT,-1
Junior Data Analyst,$26K-$47K (Glassdoor est.),4.1,"Abnormal Security
4.1","Lehi, UT","San Francisco, CA",51 to 200 employees,2018,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,-1,36.5,Abnormal Security, UT,4
Data Analyst,$26K-$47K (Glassdoor est.),4.5,"Vimerse
4.5","Salt Lake City, UT","Sugar Land, TX",51 to 200 employees,2011,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1,36.5,Vimerse, UT,11
Data Analyst : 20,$26K-$47K (Glassdoor est.),4.6,"Akraya Inc.
4.6","Salt Lake City, UT","Santa Clara, CA",51 to 200 employees,2001,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),"Collabera, Artech Information Systems, TEKsystems",-1,36.5,Akraya Inc., UT,21
Data Intelligence - Product Data Quality Analyst (DE - RefData) - Data as a Service,$26K-$47K (Glassdoor est.),4.0,"Goldman Sachs
4.0","Salt Lake City, UT","New York, NY",10000+ employees,1869,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),"J.P. Morgan, Merrill Lynch, Morgan Stanley",-1,36.5,Goldman Sachs, UT,153
Data Engineer/Data Analyst (REMOTE/Eventually Onsite),$26K-$47K (Glassdoor est.),4.1,"Idexcel Inc.
4.1","Salt Lake City, UT","Herndon, VA",501 to 1000 employees,1998,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,-1,36.5,Idexcel Inc., UT,24
Data Engineer/Analyst,$26K-$47K (Glassdoor est.),3.6,"SPECTRAFORCE TECHNOLOGIES Inc.
3.6","Salt Lake City, UT","Raleigh, NC",501 to 1000 employees,2000,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),-1,-1,36.5,SPECTRAFORCE TECHNOLOGIES Inc., UT,22
Quality Data Analyst,$26K-$47K (Glassdoor est.),2.6,"Easton Technical Products
2.6","Salt Lake City, UT","Salt Lake City, UT",201 to 500 employees,-1,Company - Private,Consumer Products Manufacturing,Manufacturing,$50 to $100 million (USD),-1,-1,36.5,Easton Technical Products, UT,-1
Technical Data Analyst/Architect,$26K-$47K (Glassdoor est.),3.0,"CIVICA INC
3.0","Lehi, UT","Vaughan, Canada",1 to 50 employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1,-1,36.5,CIVICA INC, UT,-1
Data Governance Analyst II,$26K-$47K (Glassdoor est.),3.6,"ENERBANK USA
3.6","Salt Lake City, UT","Salt Lake City, UT",1 to 50 employees,-1,Company - Public,-1,-1,$100 to $500 million (USD),-1,-1,36.5,ENERBANK USA, UT,-1
Big Data Analyst,$26K-$47K (Glassdoor est.),2.9,"VED Software Services, Inc.
2.9","Salt Lake City, UT","Farmington Hills, MI",51 to 200 employees,1995,Company - Private,IT Services,Information Technology,$5 to $10 million (USD),-1,-1,36.5,"VED Software Services, Inc.", UT,27
Senior Data Analyst,$26K-$47K (Glassdoor est.),3.4,"Ascential
3.4","Salt Lake City, UT","London, United Kingdom",1001 to 5000 employees,1947,Company - Public,Internet,Information Technology,$100 to $500 million (USD),-1,-1,36.5,Ascential, UT,75
